Data,VendaID,Categoria,Produto,PreçoUnitário,Quantidade,PreçoCusto,LucroBruto,LucroLíquido
2022-09-01,1001,Eletrônicos,Smartphone,800,2,600,400,300
2022-09-15,1002,Roupas,Blusa,30,5,20,50,30
2022-10-02,1003,Acessórios,Fones de Ouvido,50,3,35,45,25
2022-10-20,1004,Eletrônicos,Tablet,500,1,350,150,100
2022-11-05,1005,Roupas,Calça Jeans,40,4,25,60,40
2022-11-18,1006,Acessórios,Relógio,70,2,50,40,30
2022-12-03,1007,Eletrônicos,Notebook,1200,1,850,350,250
2022-12-19,1008,Roupas,Tênis Esportivo,60,3,40,60,30
2023-01-05,1009,Acessórios,Mochila,45,2,30,30,20
2023-01-20,1010,Eletrônicos,TV 4K,900,1,600,300,200
2023-02-06,1011,Roupas,Camiseta,20,6,10,60,50
2023-02-21,1012,Acessórios,Óculos de Sol,35,3,20,45,25
2023-03-08,1013,Eletrônicos,Fone de Ouvido Bluetooth,60,2,40,40,30
2023-03-24,1014,Roupas,Jaqueta de Couro,90,2,50,80,60
2023-04-10,1015,Acessórios,Bolsa de Couro,80,1,50,30,20
2023-04-26,1016,Eletrônicos,Câmera DSLR,700,1,500,200,150
2023-05-12,1017,Roupas,Vestido de Festa,70,3,40,90,70
2023-05-28,1018,Acessórios,Colar de Pérolas,25,4,15,40,30
2023-06-13,1019,Eletrônicos,Console de Videogame,400,2,280,240,160
2023-06-29,1020,Roupas,Sapato Social,50,3,30,60,40
2023-07-15,1021,Acessórios,Brincos de Prata,15,5,10,25,20
2023-08-01,1022,Eletrônicos,Fone de Ouvido Gamer,80,3,50,90,70
2023-08-17,1023,Roupas,Camisa Polo,35,4,20,60,40
2023-09-02,1024,Acessórios,Lenço de Seda,20,6,10,60,50
2023-09-18,1025,Eletrônicos,Impressora Multifuncional,150,1,90,60,40
2022-09-02,1026,Eletrônicos,Tablet,500,1,350,150,100
2022-09-16,1027,Roupas,Calça Jeans,40,4,25,60,40
2022-10-03,1028,Acessórios,Fones de Ouvido,50,3,35,45,25
2022-10-21,1029,Eletrônicos,Smartwatch,150,2,100,100,60
2022-11-06,1030,Roupas,Blusa,30,5,20,50,30
2022-11-19,1031,Acessórios,Relógio,70,2,50,40,30
2022-12-04,1032,Eletrônicos,Notebook,1200,1,850,350,250
2022-12-20,1033,Roupas,Tênis Esportivo,60,3,40,60,30
2023-01-06,1034,Acessórios,Mochila,45,2,30,30,20
2023-01-21,1035,Eletrônicos,TV 4K,900,1,600,300,200
2023-02-07,1036,Roupas,Camiseta,20,6,10,60,50
2023-02-22,1037,Acessórios,Óculos de Sol,35,3,20,45,25
2023-03-09,1038,Eletrônicos,Fone de Ouvido Bluetooth,60,2,40,40,30
2023-03-25,1039,Roupas,Jaqueta de Couro,90,2,50,80,60
2023-04-11,1040,Acessórios,Bolsa de Couro,80,1,50,30,20
2023-04-27,1041,Eletrônicos,Câmera DSLR,700,1,500,200,150
